Aladdin	complete		3-4	gpt4o	10	10	Frizzil	There are two versions, one based on the <a href="http://www.lltvg.com/wiki/Aladdin_(SNES)/Transcript">SNES transcript</a> and another based on the <a href="http://www.lltvg.com/wiki/Aladdin_(Genesis)/Transcript">SEGA Genesis transcript</a>. Both transcripts are sourced from LLTVG. Kanji-fied version produced with Chat-GPT 4o.
Cave Story	complete	https://store.steampowered.com/app/200900/Cave_Story/|https://www.gog.com/en/game/cave_story	3-4	gpt4o	8	10	Frizzil	Cards sorted by game stage. Future scenes in earlier stages may appear prematurely.
CrossCode	complete	https://store.steampowered.com/app/368340/CrossCode/|https://www.gog.com/en/game/crosscode	3-4	gpt4o	8	10	Frizzil	Some miscellany at the beginning of the deck, but close to ideal afterward.
Deltarune Chapter 1	complete	https://store.steampowered.com/app/1671210/DELTARUNE/|https://deltarune.com/	4-5	gpt4o	8	8	Frizzil	
Dragon Quest 1	complete	https://store.steampowered.com/app/2893570/DRAGON_QUEST_I__II_HD2D_Remake/	2-3	gpt4o	10	10	Frizzil	Based on a <a href='https://gamefaqs.gamespot.com/nes/563408-dragon-warrior/faqs/42955'>translation</a> written by Jason Kunts (x_loto) and hosted on GameFAQs. Item and tool names were spliced in just after the town they're first obtainable in, for a <i>perfect</i> sorting ignoring magic and monster names. Kanji-injected version kudos of Chat-GPT 4o.
Factorio	complete	https://store.steampowered.com/app/427520/Factorio/|https://www.gog.com/en/game/factorio	5	gpt4o		10	Frizzil	Game isn't linear, however, it could be sorted in terms of tutorials, tech or recipes, which ours isn't.
Final Fantasy 1	complete	https://store.steampowered.com/app/1173770/FINAL_FANTASY/	4-5	gpt4o	10	9	Frizzil	Based on this <a href="https://nayukaaaaa.nomaki.jp/wp/ff/ff1.html">transcript</a> provided by Nomaki Nayuka(?), hand-written when he originally played the game. Input contains kanji not present in the original, and contains extraneous section markers with the effect of slightly inflating name and location frequencies.
Final Fantasy 8	complete	https://store.steampowered.com/app/1026680/FINAL_FANTASY_VIII__REMASTERED/	4-5	gpt4o	8	8	XwipeoutX	Based on this <a href="http://aizenn.web.fc2.com/talk/ff-serifu.html">transcript</a>, assuming a party of Squall, Zell, Irvine. There may be section and name markers that inflate the frequencies of those.  Text is sorted by progression order for mandatory dialogue, with a section at the end for random extra conversation.
Hades	Subtitles Only	https://store.steampowered.com/app/1145360/Hades/			2	10	Frizzil	Subtitles sorted by speaker.
The Legend of Zelda: A Link to the Past	complete		3-4	gpt4o	9	9	Frizzil	Based on a <a href='http://www.lltvg.com/wiki/The_Legend_of_Zelda:_A_Link_to_the_Past/Script_dump'>transcript</a> hosted by LLTVG, originally made by <a href='http://www.lltvg.com/wiki/User:Furrykef'>Kef Schecter</a>.
The Legend of Zelda: Majora's Mask	complete				1?	6	Frizzil	Sourced from <a href="https://www.zeldalegends.net/files/emulation/dumps/zelda6/japan/z6dump(jp).html">zeldalegends.net</a>. (Website is inconsistently down as of August 2024.)
The Legend of Zelda: Ocarina of Time	complete		5-6	gpt4o	5	9	Frizzil	Sourced from <a href="https://www.zeldalegends.net/files/emulation/dumps/zelda6/japan/z6dump(jp).html">this dump</a> by David Butler for zeldalegends.net. (Website is inconsistently down as of August 2024.) Sortedness ranked by gpt4o (or at least it tried).
The Legend of Zelda: Wind Waker	complete				1?	6	Frizzil	Sourced from <a href="https://www.zeldalegends.net/view/emulation/dumps/tww/tww_JAP.html">this dump</a> by Iron Knuckle for zeldalegends.net. (Website is inconsistently down as of August 2024.)
LunarLux	complete	https://store.steampowered.com/app/1932680/LunarLux/|https://www.gog.com/en/game/lunarlux	4	gpt4o		9	Frizzil	
